
cc@llk-adnn:~/Depth-nested_Cifar/logs$ cat accuracy_file.txt
[0.9132 0.9136 0.9156 0.9206]	2021-07-24 14:07:38.523259
[0.914  0.9158 0.9186 0.9212]	2021-07-24 14:43:22.758907
[0.9164 0.918  0.9188 0.9218]	2021-07-24 15:19:07.298925
[0.9124 0.916  0.9142 0.9172]	2021-07-24 15:54:51.013411
[0.915  0.914  0.9176 0.9208]	2021-07-24 16:30:37.781556
[0.9106 0.9114 0.9132 0.9164]	2021-07-24 17:06:24.558410
[0.9186 0.9198 0.9214 0.9238]	2021-07-24 17:42:07.082439
[0.9172 0.9198 0.9212 0.9238]	2021-07-24 18:17:49.396894
[0.917  0.9192 0.9212 0.9248]	2021-07-24 18:53:36.948403
[0.9208 0.9208 0.922  0.9262]	2021-07-24 19:29:22.547388
[0.9202 0.9208 0.9214 0.925 ]	2021-07-24 20:05:12.201354
[0.9198 0.9196 0.922  0.9254]	2021-07-24 20:41:02.818973
[0.9178 0.9194 0.9212 0.925 ]	2021-07-24 21:16:45.588416
[0.9202 0.9228 0.9216 0.9252]	2021-07-24 21:52:32.883642
[0.9204 0.9228 0.9248 0.9282]	2021-07-24 22:28:18.988588
[0.9196 0.9218 0.9202 0.9272]	2021-07-24 23:04:05.014403
[0.9218 0.921  0.9218 0.9246]	2021-07-24 23:39:45.734745
[0.9198 0.9202 0.9224 0.927 ]	2021-07-25 00:15:25.097115
[0.9202 0.9228 0.9234 0.927 ]	2021-07-25 00:51:04.883355
[0.9194 0.9196 0.9208 0.9268]	2021-07-25 01:26:47.986331
[0.9202 0.9202 0.9232 0.9268]	2021-07-25 02:02:32.266253
[0.9194 0.9196 0.923  0.9252]	2021-07-25 02:38:15.895428
[0.921  0.9198 0.9228 0.9246]	2021-07-25 03:14:03.724366
[0.9198 0.9192 0.9212 0.9254]	2021-07-25 03:49:51.057440
[0.9236 0.9212 0.9222 0.9254]	2021-07-25 04:25:38.120673
[0.9204 0.921  0.922  0.9258]	2021-07-25 05:01:25.607432
[0.9214 0.923  0.9228 0.9264]	2021-07-25 05:37:12.879996
[0.9196 0.919  0.921  0.9242]	2021-07-25 06:13:04.557103
[0.9214 0.921  0.9224 0.9252]	2021-07-25 06:48:52.605365
[0.9212 0.9224 0.9234 0.9262]	2021-07-25 07:24:45.899231
[0.9222 0.921  0.925  0.9258]	2021-07-25 08:00:33.309144
[0.921  0.9224 0.9228 0.927 ]	2021-07-25 08:36:20.406498
[0.9218 0.9212 0.9224 0.9242]	2021-07-25 09:12:10.426448
[0.9226 0.9222 0.9238 0.926 ]	2021-07-25 09:48:00.562452
[0.9212 0.9214 0.9218 0.9236]	2021-07-25 10:23:46.675334
[0.9222 0.9216 0.9242 0.9252]	2021-07-25 10:59:39.710770
[0.9216 0.922  0.9246 0.9262]	2021-07-25 11:35:26.649197
[0.9216 0.9216 0.9236 0.926 ]	2021-07-25 12:11:13.343160
[0.9216 0.9214 0.9238 0.9264]	2021-07-25 12:46:59.286959
[0.9218 0.924  0.9248 0.9258]	2021-07-25 13:22:45.566685
[0.922  0.9216 0.924  0.9266]	2021-07-25 13:58:35.691326
[0.9224 0.9224 0.9246 0.9266]	2021-07-25 14:34:24.435437
[0.9212 0.9232 0.9222 0.9244]	2021-07-25 15:10:12.792288
[0.9214 0.9226 0.9242 0.9268]	2021-07-25 15:46:02.082347
[0.9226 0.9232 0.925  0.9268]	2021-07-25 16:21:49.456303
[0.922  0.923  0.9254 0.9272]	2021-07-25 16:57:40.642224
[0.9226 0.9236 0.9238 0.9276]	2021-07-25 17:33:29.092572
[0.9218 0.9226 0.923  0.9248]	2021-07-25 18:09:18.375600
[0.9224 0.923  0.9234 0.9256]	2021-07-25 18:45:04.076672
[0.924  0.9244 0.926  0.9276]	2021-07-25 19:20:51.145743
[0.9222 0.9232 0.9244 0.9266]	2021-07-25 19:56:38.820698
[0.923  0.9236 0.9242 0.9256]	2021-07-25 20:32:28.022801
[0.922  0.9242 0.924  0.9266]	2021-07-25 21:08:15.378838
[0.9224 0.923  0.9234 0.9252]	2021-07-25 21:44:01.278974
[0.9224 0.923  0.9234 0.9238]	2021-07-25 22:19:50.257083
[0.9238 0.9228 0.9234 0.9254]	2021-07-25 22:55:35.588550
[0.9246 0.9226 0.9236 0.9264]	2021-07-25 23:31:22.930461
[0.9216 0.924  0.9242 0.9266]	2021-07-26 00:07:08.817424
[0.9232 0.9236 0.9234 0.9272]	2021-07-26 00:42:54.963859
[0.924  0.9238 0.9246 0.9266]	2021-07-26 01:18:41.029725
[0.9226 0.9236 0.9248 0.9274]	2021-07-26 01:54:28.557723
[0.9236 0.9262 0.9264 0.9288]	2021-07-26 02:30:14.168389
